Prénom;2 ème prénom;3 ème prénom;DDN2012
Anuradha;Anant;;
Priyanka;;;
Alexandre;Oscar;;
Axel;Geneviève;;
Cédric;Didier;;
Chantal;;;
Christelle;;;
Damien;;;
Diego;;;
Florian;Patrick;;
Léonie;;;
Nicolas;Arthur;;
Robert;Pascal;;
Thalia;;;
Ursula;Maria;;
Werner;Robert;;
Françoise;Monique;Annick;
Wilfried;Marc;Youri;
Alexandra-Nathaly;;;
Benjamin;Andréas;;
Evan;;;
Hans;Rudolf;;
Marla;;;
Marlon;;;
Maryline;;;
Mathias;;;
Mathias;Alexander;;
Monique;Marie;;
Pierre;;;
Rudolf;Jakob;;
Shizuko;;;
Timothée;;;
Xavier;Léon;;
Zacharie;Luca;;
Damien;Pierre;Antoine;
Elie;;;
George;Edward;;
Amani;;;
Nicolas;;;
Nicolas;Christian;Roland;
Adel;;;
Cheker;;;
Ilham;;;
Karim;;;
Khaled;;;
Khaled;Junior;;
Sabrine;;;
Saged;;;
Maya;;;
Atsoupé;Djifa;;
Sylvie;Marie;Jeanne;
Georges;Xavier;;
Liliane;Juliette;;
Rose-Marie;;;
Xavier;;;
Clara;Emmanuelle;Céline;
Didier;Christian;Hervé;
Eden;;;
Françoise;Elaine;;
Françoise;Jeanne;Marie;
Romain;;;
Thibault;;;
Valentin;Pierre;;
Yves;Paul;Joseph;
Zoé;;;
Sixtine;Marie;Martine;
Adrian;;;
Ana;;;
Bojan;;;
Jelena;;;
Jelena;;;
Laura;;;
Mirjana;;;
Radoslav;;;
Samantha;;;
Stefan;;;
Zorana;;;
Kalina;;;
Dejan;;;
Mathilde;Jeanne;Victoire;
Jan;Mohammad;;
Anne-Marie;;;
Benjamin;Jacques;;
Catherine;;;
Claude;Joseph;;
Eric;Julien;;
Françoise;Madeleine;;
Jordan;;;
Madeleine;Julia;;
Virgile;Alec;;
Michal;;;
Vanessa;;;
Noemi;Angela;;
Carmen;Jissel;;
Beatriz;Aranzazu;;
Jimena;;;
Julia;;;
Bernadette;Monique;;
Chantal;;;
Hubert;Gérard;Henri;
Yannick;Pascal;Christian;
Angela;Luiza;;
Aris;Lucas;;
Cornelia;Maria;;
Ioan;;;
Jean;Pierre;Roger;
Guillaume;Paul;;
Livio;Léo;Matteo;
Alexander;Matthias;Renato;
Carole;;;
Ernst;Meinrad;;
Rita;;;
Jacqueline;;;
Jude;Oussman;Abdelkader;
Gilles;;;
Isabelle;;;
Jonas;Kyle;Samuel;
Marc;Laurent;;
Myrianne;Sonia;;
Robert;Georges;Roger;
Ruben;Nathanaël;William;
Andrée;Cécile;;
Anne;;;
Boris;;;
Caroline;;;
Damien-Roger;;;
Daniel;André;Laurent;
Daniel;Yvan;;
Denise;Marie;Thérèse;
Frédéric;Martin;Edmond;
Gabriella;;;
Hugues;;;
Joël;Daniel;;
Manon;Léna;;
Pierre;Yves;;
Sylvie;Pia;;
Téa;Anouk;Joël;
Valentin;;;
Vincent;;;
Yana;;;
Christian;Adrien;;
Camille;Marie;;
Axel;;;
Santiago;;;
Gil;;;
Liliana;Marcella;;
Sacha;Vincent;Clément;
Anaïs;Flore;Tiphaine;
Sunyoung;;;
Katharina;;;
Simon;;;
Jeremy;;;
Marceline;;;
Caroline;Berthe;Marguerite;
Philippe;Mathias;Luca;
Pilar;Eugenia;;
Samuel;Emile;Ariel;
Simon;Arthur;Paul;
Thomas;Philippe;Abran;
Christophe;Werner;Jules;
Daniel;Werner;Justin;
Kilian;;;
Monique;Gilberte;Marie;
Aurélie;;;
Ben;;;
Bernard;;;
Charlie;Lorenz;;
Claire;Dominique;;
Claude;Yves;;
Colin;;;
Cosette;Marcelle;;
Danielle;Chantal;;
David;Yvan;Philippe;
Divine;Pamela;;
Elisa;;;
Eva;Chloé;;
Fabrice;;;
Fanny;;;
Fanny;Amélie;;
Grégory;Edgar;;
Hafida;;;
Irene;Teresa;;
Iwan;Marco;;
Jacqueline;Aline;;
Karim;;;
Laure;Jessica;;
Lindsey;Lola;;
Lisa;;;
Loris;Arnaud;;
Maïlys;;;
Marcel;André;;
Marlyse;;;
Martha;Silvia;;
Martine;Wanda;Cécile;
Matthias;;;
Mélanie;Céline;;
Méline;Lilou;;
Mélissa;;;
Mia;;;
Michel;Frédéric;;
Nadal;Diego;;
Naël;Patrick;;
Nathalie;;;
Océane;Aurore;;
Olivier;Henri;;
Patrick;Marc;;
Pierre;Frédéric;;
Pierrette;Suzanne;;
Renée;Alice;;
Romane;;;
Sohan;;;
Stéphane;Pascal;;
Steve;;;
Tatsana;;;
Thierry;André;;
Thierry;Gabriel;;
Thierry;Laurent;;
Virgile;;;
Yvette;Marguerite;;
Zack;;;
Dalila;;;
Hamza;;;
Hatidza;;;
Vahid;;;
Maha;;;
Nohémy;;;
Martin;;;
Adeline;Marie;;
Christian;René;;
Loïc;Antoine;;
Nadine;Marie;Liliane;
Vaiva;;;
Auste;;;
Vilte;;;
Christine;Henriette;;
Stefano;Sandro;;
Claudia;Anne-Marie;;
Marzia;;;
Marcos;Antonio;;
Érika;;;
Beglije;;;
Bejtula;;;
Alim;;;
Refija;;;
Salim;;;
Selma;;;
Ariane;Madeleine;;
Barbara;;;
Maxime;Ricardo;Miguel;
Chloé;Anja;;
Denis;André;;
Corinne;;;
Léna;Soline;;
Madeleine;;;
Marie;Juliette;Monique;
Martial;Louis;;
Pauline;;;
Rita;Filomena;;
Typhaine;Maiko;;
Aminata;Lisa;;
Mohamed;;;
Daria;;;
Marie-Jeanne;;;
Halide;;;
Jon;;;
Zahir;;;
Kerene;;;
Emerance;;;
Alphonsine;;;
Wendkoumi;Samuella;Grace;
Noé;;;
Jeffrey;Bryan;;
Lisa;;;
Simon;Pierre;;
Kenneth;;;
Ahmed;;;
Ahmet;;;
Azad;;;
Dalya;;;
Emine;;;
Eymen;;;
Fahmi;;;
Ferit;;;
Furkan;;;
Mazlum;;;
Meliha;;;
Menesa;;;
Metin;;;
Mustafa;;;
Sait;;;
Viyan;;;
Zana;Yusuf;;
Beat;Kurt;;
Clotilde;Marie;Elisabeth;
Zohra;;;
Najia;;;
Houcine;;;
Ilan;;;
Maeve;;;
Marie;France;Elisabeth;
André;Jarogniew;;
Lucja;Antonina;;
Ahmed;;;
Ahmed;Adam;;
Ahmed;Firass;;
Ahmed;Nizar;;
Djilali;;;
El;Walid;Hamza;
Rachid;El;Djilali;
Yacine;Abou;Hamza;
Zahiha;Myriam;;
Martine;;;
Monique;Alice;Agnès;
Amir;Joseph;;
Jalila;;;
Ayan;;;
Kefsere;;;
Refik;;;
Sabri;;;
Sabri;;;
Shefik;;;
Tefik;;;
Violeta;;;
Matthieu;;;
Kadishe;;;
Adelina;;;
Angjelina;;;
Bekim;;;
Florijan;;;
Idriz;;;
Jusuf;;;
Sali;;;
Sandra;;;
Zara;;;
Roland;Marc;;
Anne;Christine;;
Claude;André;;
Danielle;;;
Mathilde;;;
Pierre;Willy;;
Violaine;Amandine;;
Yann;Jacques;;
Gabriel;Mohaned;;
Lileïa;Lynn;;
Zoé;Claudie;;
Keiko;;;
Govin;;;
Kahandawala;Arachchige;Padmika;
Sethuni;Kulansa;;
Somindu;;;
Senay;;;
Albert;Matongo;;
Mina;;;
Latifa;;;
Dorcas;Joséphine;;
Louis;;;
Asmeret;;;
Edna;;;
Yanet;;;
Yohannes;;;
Alemseged;;;
Arieam;;;
Arsiema;;;
Bereket;;;
Mardokay;Natnael;;
Natnaele;;;
Noam;Nathan;;
Suzan;;;
Yosief;;;
Fatih;;;
Shinji;;;
Idriss;;;
Mohamed;;;
Sabina;Margarete;;
Sofiane;;;
Yasmine;;;
Allan;Michel;Dominique;
Christel;;;
Fabian;;;
Isabella;Katharina;;
Kilian;Christopher;;
Nicolas;;;
Stefan;Christian;;
Vanessa;;;
Mokanatheepa;;;
Karim;;;
Nermina;;;
Vernes;;;
Adem;;;
Andin;;;
Anduena;;;
Anil;;;
Olsa;;;
Pranvera;;;
Koorosh;;;
Lahoucine;;;
Nayla;;;
Taha;;;
Djany;;;
Azizgol;;;
Bashir;Ahmad;;
Mansour;;;
Massoud;;;
Saïd;;;
Soheil;;;
Nazareth;;;
Eny;;;
Mamuka;;;
Milena;;;
Marvin;Mudiayi;;
Kiran;;;
Noorullah;;;
Diora;;;
Edi;;;
Elizaveta;;;
Emilie;;;
Mentor;;;
Pranvera;;;
Natalia;;;
Stanislava;;;
George;;;
Stephen;John;;
Danylo;;;
Ihor;;;
Yvonne;Andrée;Marie;
Arthur;;;
Marharyta;;;
Ihor;;;
Modja;Christopher;;
Pauline;Mujinga-Wa-Kanda;;
Angelika;;;
Stefanie;;;
Yasmin;;;
Daniel;Jean;;
Dorette;Hélène;;
Gilles;;;
Giulia;;;
Johanne;;;
Marie-Berthe;;;
Marlo;;;
Mateo;;;
May;Lucienne;;
Willy;;;
Francisc;;;
Jefferson;Aron;;
Armand-Gérard;;;
Elena;;;
Arnaud;Benedict;;
Alain;François;;
Lara;;;
Marie;;;
Anne;Pascale;;
Donika;;;
Sachiko;;;
Fiona;Nathalia;;
Patrick;;;
Brice;;;
Kacper;Piotr;;
Karina;;;
Margaretha;;;
Michael-Aribert;;;
Stéphane;André;;
Gaëlle;;;
Erwin;;;
Raghda;Ahmed;Ahmed;
Dimitrios;;;
Gabrielle;;;
Lucile;Madeleine;;
Murielle;Josiane;;
Stéfanie;;;
Nelly;Raymonde;;
Shumaila;;;
Sujitha;Elodine;;
Dillan;;;
Dilvin;;;
Jouma;;;
Najiba;;;
Rachid;;;
Sipan;;;
Aun;;;
Kamila;Sakina;;
Shahista;;;
Ganesalingam;;;
Nishan;Lucas;;
Anastasiia;;;
Carl;Axel;;
Monica;Annelie;;
Svante;Lennart;;
Bouchra;;;
Jaouad;;;
Nora;;;
Samia;;;
Pape;Sidiya;;
Thierno;Bassirou;;
Kodai;;;
Bomi;;;
Robert;Jonah;;
Soyeol;;;
Nishanthan;;;
Philippe;Serge;;
Jérémie;Mbayi;;
Abdoulaye;;;
Fanta;Mady;;
Makan;;;
Rutayisire;Simon;;
Mamita;Nsuele;Mangabo;
Aymone;Vinciane;;
Olivier;;;
Raoul;Alain;;
Werner;;;
Izabela;;;
Mirza;;;
Naomie;;;
Dilek;;;
Geneviève;Christine;;
Léo;Semo;;
Chensrielnt;Lazo;;
Evelina;;;
Maria-Louisa;;;
Florence;Marie;;
Michel;Arnold;;
Patrick;;;
Pierina;;;
Taodan;;;
Batuhan;;;
Gizem;;;
Yasar;;;
Süleyman;;;
Dean;;;
Mikayel;;;
Ayaz;;;
Ayhan;;;
Efnan;;;
Emine;;;
Ersan;;;
Halime;Gül;;
Kardelen;;;
Kurretulayn;Meryem;;
Naciye;;;
Osman;;;
Hasija;;;
Tugay;;;
Augustin;;;
Solange;;;
Sahar;;;
Qudsiyah;Bano;;
Chrysanthi;;;
Mohamad;;;
Selin;;;
Fidan;;;
Hanife;;;
Noemi;Alejandra;;
Patricia;Bernadette;;
Yilmaz;;;
Haydar;;;
Adara;Wiktoria;;
Alia;;;
Malak;;;
Rayan;;;
Redouane;;;
Christopher;Jonathan;Fabien;
Claire;Rany;;
Harmonie;Fabienne;Danièle;
Rangliciane;;;
Krystian;Ireneusz;;
Julie;Elja;;
Lieve;Jeanne;;
Michiel;;;
Viktor;;;
Rania;;;
Sakar;Rahim;Karim;
Arif;;;
Nasrin;;;
Sarmad;;;
Sanubar;;;
Hakim;;;
Mirella;;;
Taha;;;
Doreen;Akua;;
Alix;Jeanne;Nicole;
Anas;;;
Cédric;;;
Martha;;;
Sylvain;;;
Yassine;;;
Haasika;;;
Mahesh;Babu;;
Emma;;;
Lina;;;
Mohamed;;;
Rachid;;;
Sophia;;;
Ilan;Meyer;;
Atalisso;Padamazinam;;
Youssef;;;
Réka;;;
Sofiya;;;
Jacques;Adam;;
Ali;Kaan;;
Bulbul;;;
Sylvia;Paula;;
Balunda;Claudine;;
Gukila;;;
Oksana;;;
Arno;Gabriel;;
Basil;Valentin;;
Claude;Renée;;
Daniel;Heinz;;
Eliane;;;
Frédy;;;
Gérard;Louis;;
Jeanne;Zoe;;
Lucette;Andrée;;
Marc-Antoine;Fabrice;David;
Ursula;Marcela;;
Beat;;;
Christine;Isabelle;;
Hossein;;;
Massoumeh;;;
Akef;;;
Patricia;;;
Margrit;;;
Jan;;;
Bashir;;;
Dilshad;Banu;;
Shanoor;;;
Sophie;Marie;Elisabeth;
Khedidja;;;
Dolina;;;
Eduan;;;
Erblind;;;
Gentiana;;;
Veton;;;
Admin;;;
Hanna;;;
Muhamed;;;
Vildana;;;
Calissa;Alfi;Patience;
Eddy;;;
Tibo;;;
Harikaran;;;
Michaela;Theano;;
Aristotelis;Theodoros;;
Oliver;;;
Vasiliki;Panagiota;;
Lucien;;;
Olivia;Alice;;
Adrian;Dominik;;
Angelina;Evelyne;;
Anne;Marie;;
Apolline;Lucy;;
Béatrice;;;
Brigitte;Christine;;
Christina;Alice;Andrea;
Dwenn;;;
Erika;Elisabeth;;
Francis;Gilbert;;
Jacques;;;
Jean;Christophe;;
Lana;;;
Liam;Ernest;;
Malgorzata;Jadwiga;;
Max;;;
Maya;;;
Mira;;;
Natacha;;;
Nicole;Danielle;;
Noé;;;
Olivier;Maxime;Lionel;
Pascal;Pierre;;
Pierre;André;;
Pierre;René;;
Pierrette;Olga;;
Raphaël;;;
Regina;Rosina;;
René;Charles;;
Rose;Marie;;
Tim;;;
Véronique;;;
Yan;;;
Jasmeen;;;
Morgane;;;
Timon;Marius;;
Aris;;;
Alena;;;
Artsiom;;;
Natia;;;
Abdurrahim;;;
Berkay;;;
Beyza;;;
Devrim;;;
Kadir;;;
Mahmut;;;
Melina;Ayse;;
Nesrin;;;
Olivia;;;
Sandra;;;
Abdul;Hamid;;
Maha;;;
Drita;;;
Emir;;;
Melih;;;
Nora;;;
Shqipe;;;
Ziya;;;
Alain;Francis;;
Alicia;France;;
Alisone;Alina;;
Alizée;Anna;;
Catherine;;;
Christine;;;
Gonpo;;;
Tenzin;Dolma;;
Kaja;;;
Ali;Reza;;
Zahra;;;
Mary-Line;;;
Mohammed;;;
Kabir;;;
Mortaza;;;
Mounir;;;
Mickael;;;
Patrik;;;
Jean;Christophe;Daniel;
Samuel;Lucas;Andreas;
Lou-Victori;;;
Kabinet;;;
Alperen;Taha;;
Elçin;;;
Gülçin;;;
Halime;;;
Ilyas;;;
Inci;;;
Isabelle;;;
Nuri;;;
Osman;;;
Serdal;;;
Sevket;;;
Züleyha;;;
Ainsley;Marie;;
Andrew;Joseph;;
Larissa;Maie;;
Luke;Andrew;;
Semhar;;;
Denis;;;
Maria;;;
Valeria;;;
Anne;;;
Adrien;;;
Alexandre;Saâd;;
Arlette;Simone;;
Béatrice;Cécile;;
Brigitte;Sabine;;
Céline;;;
Clara;;;
Daniel;Armin;;
Eduardo;;;
Elena;;;
Enzo;;;
Heidi;Ida;;
Heike;Elisabeth;;
Jakob;;;
Joss;;;
Laura;Caroline;;
Leana;;;
Liliane;Elisabeth;;
Malya;;;
Marc;Thomas;;
Maria;Anna;Sophie;
Marlyse;Stephanie;;
Maximilien;Said;;
Meinrad;Max;;
Michèle;Marie;Anne;
Nadège;Saïda;;
Pascal;;;
Raymond;Daniel;;
Robert;Frédéric;;
Roland;Pierre;;
Rolf;;;
Sonja;Hedwig;;
Stefan;Andreas;;
Ursula;Christina;;
Vilena;Nikolaevna;;
Yves;;;
Sandra;Lynn;;
Aaron;;;
Unike;;;
Alea;;;
Alec;;;
Anita;;;
Antigon;;;
Antor;;;
Artan;;;
Astrit;;;
Avdija;;;
Begije;;;
Edison;;;
Edona;;;
Eldion;;;
Fidan;;;
Florije;;;
Imer;;;
Isma;;;
Leila;;;
Leona;;;
Loen;;;
Melina;;;
Sabrije;;;
Shabnam;;;
Shqipe;;;
Teuta;;;
Valbone;;;
Zijadin;;;
Fernando;;;
Nathaniel;James;Ryder;
Oliver;;;
Doris;Edith;;
Laurianne;;;
Emilie;;;
Ilona;;;
Philippe;;;
Veerle;;;
Mario;Emilio;;
Mico;;;
Robenson;;;
Carine;;;
Florian;;;
Blend;;;
Arlinda;;;
Ako;Mohammed;;
Rayan;;;
Roman;;;
Talya;;;
Anas;;;
Dylan;;;
Fetije;;;
Eloïse;;;
Loucine;Amy;;
Rouben;Arnaud;;
Sevan;;;
Ghouti;Karim;;
Jibril;;;
Liam;;;
Mehdi;;;
Camille;Mariam;;
Christine;Jeanne;Dominique;
Debora;Athalia;;
Edouard;Francis;;
Florine;Marie-Aude;Clémence;
Jean-Gabriel;Thomas;;
Jennifer;;;
Marilena;Amina;;
Niklas;Matthias;;
Stephan;Armin;;
Louis;Joe;;
Camille;;;
Christiane;Huguette;;
Pierre;André;;
Ara;;;
Cian;Ryan;;
Matthew;Ryan;;
Raymond;Cornelius;;
Stephen;Ryan;;
Delya;Jade;;
Jaouhar;;;
Lina;Melek;;
Ambre;Mazarine;;
Nadège;Anne-Catherine;;
Josiane;;;
Peter;Walter;;
Sofiia;;;
Tetiana;;;
Aram;;;
Meron;;;
Naod;;;
Naomi;;;
Selemawi;;;
Tiegsti;;;
Pouyan;;;
Meaza;;;
Ivan;;;
Lyam;;;
Sara;;;
Erdem;;;
Hélène;Marie;;
Muammer;;;
Batuhan;;;
Jalal;;;
Audrey;Mélanie;Blanche;
Claude;;;
Deion;Allan;;
Felix;Ernst;;
Jérôme;;;
Léa;;;
Claude;;;
Gilles;;;
Madeleine;Ysabel;;
Frédéric;;;
Carole;Milly;;
Abdi;;;
Anis;;;
Safaa;;;
Sarra;;;
Suleqa;;;
Georges;Marton;;
Hai;;;
Hao;;;
My;Tien;;
Pen;;;
Emie;;;
Lazhar;;;
Rattana;;;
Rosmarie;Frieda;;
Sahachad;;;
Chaker;;;
Lusine;Artavazdovna;;
Adam;;;
Fouad;;;
Meryam;;;
Mouhamad;Amine;;
Sara;;;
Mohammed;Isa;;
Maxim;;;
Jamshid;;;
Djan;;;
Djoudi;;;
Idris;;;
Mohammed;;;
Nouvin;;;
Rafat;;;
Amira;;;
Delya;Aya;;
Neyla;;;
Souad;;;
Youcef;;;
Fatim;;;
Jihen;;;
Abdi;;;
Asiya;;;
Nada;;;
Sayid;Ali;;
Hassan;;;
Raghda;;;
Adoniss;;;
Alissar;;;
Awais;;;
Ayla;;;
Djan;;;
Ibrahim;;;
Ibtissam;;;
Inaya;;;
Mahmoud;;;
Majd;;;
Niyaz;;;
Ramy;;;
Roni;;;
Pacôsme;Prachya;;
Ghislaine;Liliane;;
Imran;Mohammad;;
Iren;Neeranzona;;
Irma;Neelima;;
Kiramat;;;
Malika;;;
Mohammad;Hassan;;
Monira;;;
Nasir;Ahmed;;
Nilufa;;;
Saleem;;;
Samander;Amy;;
Zahid;;;
Habiba;;;
Hanene;;;
Tenzin;Nangsel;;
Thinley;Youdon;;
Seema;;;
Nangialai;;;
Hassan;;;
Marwa;;;
Mouaad;;;
Danil;;;
Eskirkhan;;;
Lise;Julia;;
Lean;Im;;
Michael;;;
Sok-Kha;Pamela;;
Tut;;;
Phala;;;
Marjan;;;
Zahra;;;
Azizullah;;;
Baran;;;
Hamid;Riza;;
Kenza;;;
Salima;;;
Firas;;;
Dilman;Jouma;Rachid;
Sofiane;;;
Yanis;;;
Mohamed;Aziz;;
Rahma;;;
Shadia;Mustafa;Kheder;
Lilia;;;
Mounir;;;
Amine;Rayane;;
Farid;;;
Sihem;;;
Younes;;;
Siwar;;;
Aya;;;
Fatma;;;
Salma;;;
Abdel;Rahmen;;
Azza;;;
Mohamed;Nasserdine;;
Sofiane;;;
Sofia;Alice;;
Soraya;;;
Raja;;;
Amina;;;
Amine;;;
Sonia;;;
Leila;;;
Ibrahim;;;
Karen;;;
Katia;;;
Monia;;;
Ramzi;;;
Safia;;;
Assia;Fatima;;
El;Houssine;;
Emna;Myriam;;
Lina;Alia;;
Nawel;Jenna;;
Oumama;;;
Sarra;;;
Sarra-Mariia;;;
Aymen;Hamid;;
Vanessa;;;
Bouchra;;;
Mohamed;Foued;;
Abd;El;Halem;
Chantal;Michèle;;
Samy;;;
Yacine;;;
Ezzitouni;;;
Yasmine;;;
Alisa;;;
Denis;;;
Thomas;;;
Anton;;;
Vera;;;
Everhart;Sue;;
Kenzo;Kaden;;
Kizzel;;;
Ridha;;;
Tymur;;;
Soha;;;
Buarian;;;
Aleksandr;;;
Kirill;;;
Osama;;;
Anastasia;;;
Marina;;;
Azad;;;
Frédéric;Jivan;;
Liloz;Elisa;;
William;;;
Mavovambikudi;Vital;;
Sarah;Marie-Louise;;
Gergis;;;
Allisa;;;
Hana;;;
Henok;;;
Mehari;;;
Mielat;;;
Sami;;;
Siwar;;;
Adyam;;;
Betelehem;;;
Hiyabel;;;
Melael;;;
Metkel;;;
Tabo;;;
Netsanet;;;
Claudette;Dolly;Maude;
Fabienne;Nathalie;Blandine;
Anne-Françoise;Fanny;;
Carole;;;
Jenny;Sarah;;
Daniela;;;
Jonathan;Mathias;;
Maeva;Jeanne;;
Jonathan;;;
Achille;;;
Daniel;Paul;;
Fabienne;Valérie;;
Léo;;;
Manuel;;;
Marianne;;;
Ursula;Veronika;;
Francesco;;;
Ek;Siv;;
Aloniab;;;
Aron;;;
Hermela;;;
Selihom;;;
Florian;Philippe;Julien;
Mathias;Georges;Jean;
Zian;Nicolas;Xavier;
Rashid;Abdallah;;
Elina;;;
Sylvie;Gabrielle;;
Bernard;Alain;;
Maria;Aloysia;Canisia;
Anton;;;
Jeannine;Hélène;;
Joseph;;;
Stéphane;;;
Martha;;;
Ellena;;;
Ali;;;
Ali;;;
Ali;;;
Erdogan;;;
Ergün;;;
Hasan;;;
Hatice;;;
Havin;;;
Meliha;;;
Murat;;;
Nuriye;;;
Philippe;Düzgün;;
Sinem;;;
Volkan;;;
Yilmaz;;;
Dilek;;;
Arin;;;
Devran;;;
Sevil;;;
Anna;;;
Irene;;;
Dmitriy;;;
Jaemin;;;
Ki;Tae;;
Myun;Sik;;
Eric;;;
Sofía;;;
Viktor;;;
Carella;;;
Nicole;;;
Jackson;;;
Mami;;;
Lolah;Deo;G;
Amalhan;;;
Elvira;;;
Beat;;;
Celestine;Lakshmi;;
Mibrak;;;
Deirdre;;;
Denise;Madeleine;;
Isabelle;;;
Mirko;Stéphane;;
Peter;Walter;;
Tristan;Luc;;
Semira;Blanda;;
Serife;Nilüfer;;
Debra;Anne;;
Josette;Françoise;;
Milad;;;
Danièle;Nicole;;
Irina;;;
Eda;;;
Aron;Brook;;
Arsema;;;
Lubov;;;
Iryna;;;
Anthony;Olivier;;
Kalman;Tibor;;
Elorane;;;
Elisabeth;;;
Pierre;Antoine;;
Aël;Grégoire;;
Bertrand;Olivier;;
Laetitia;Christel;;
Nicole;;;
Srebrana;;;
Dawit;Segene;;
Yannick;Sankueno;;
Ambrosio;;;
Ambrósio;Leão;;
Ebenézer;Anita;;
Eduardo;Nsangu;;
Eunice;Madalena;;
Monika;;;
Nicol;Sofia;;
Christine;;;
Jayden;Emanuel;;
Manuel;;;
Jordan;Kalasa;Kabobo;
Robby;Kabobo;;
Verena;Brigitta;;
Leyla;;;
Ruanda;;;
Emilie;;;
Robin;Erik;;
Ladislav;;;
Roman;;;
Sacha;;;
Christopher;Viktor;;
Laurin;Thomas;;
Maurice;Julius;;
Maria;;;
Rolf;;;
Marie;Lila;;
Karina;Louissett;;
Alexandra;Louise;;
Anne;Evelyne;Marie;
Christian;Fritz;;
Elias;Sebastian;;
Francisco;Reto;;
Guillaume;;;
Barbara;;;
Isabelle;Sophia;;
Maria;;;
Catherine;;;
Jürg;;;
Olivia;Isabelle;;
Sébastien;Arthur;;
François;;;
Françoise;Alice;Angèle;
Piotr;Krzysztof;;
Patricia;Joan;;
Cyril;;;
Isabelle;Marie;;
Alycia;Elisabeth;;
Daniel;;;
Marinette;Marguerite;;
Savelii;;;
Laurianne;;;
Matteo;Iwan;;
Rosa;;;
Arielle;Elise;;
Brian;Richard;;
Suzanne;Lily;;
Sabine;;;
Anna;Silvana;;
Francesca;;;
Arina;;;
Alona;;;
Marharyta;;;
Anna;;;
Rafael;;;
Evguenia;;;
Yannick;Emmanuel;;
Robert;Olaf;;
Cyril;Niwes;Parag;
Anzhela;;;
Oleksandr;;;
Isaac;Sacha;;
Natacha;;;
Daria;;;
Visnja;;;
Denis-Jozef;;;
Jérémy;;;
Marjorie;Jane;;
Rosemary;;;
Carine;Sylviane;;
Clara;Elisabeth;;
Eugène;Henri;;
Ingrid;Maria;Luise;
Ludivine;Katia;;
Maxime;Jules;;
Nina;Shaisha;;
Oriane;Fanoune;;
Samir;Ueli;;
Sébastien;Christophe;;
Soraya;;;
Ulrich;;;
Elia;Selena;;
Samuel;Eliot;;
Yvan;;;
Jérémie;;;
Michaël;;;
Elisabeth;;;
Noémie;Marlise;;
Denis;;;
François;Jacques;;
Marianne;;;
Astrid;;;
Alessandro;;;
Daniel;Andrew;;
Riccardo;;;
Sophie;Julia;;
Timothy;Carl;;
Hermann;Michel;;
Ludovic;Jean;;
Anton;;;
Ksenia;;;
George;;;
Alain;Eric;;
Alain;Michel;;
Anouk;Sylvia;;
Caroline;;;
Irene;;;
Jason;;;
Jérôme;;;
Ludovic;Alain;Gérard;
Martine;Michelle;Odette;
Robin;;;
Ryan;;;
Simon;David;;
Anna;;;
Stephanie;;;
Tibor;;;
Elisya;Esme;;
Eyüp;Can;;
Muhammet;;;
Klarita;;;
Alexiane;Lisa;;
Bernard;Edouard;;
Camille;;;
Chantal;;;
Denise;Michelle;;
Evelyne;;;
Hélène;Béatrice;;
Ilouane;;;
Jean;Pierre;;
Marlyse;;;
Nicole;Josette;;
Nicole;Renée;;
Philippe;;;
Solene;Julie;;
Sonja;;;
Alain;;;
Alexandre;;;
Benjamin;;;
Bernhard;;;
Christophe;André;;
Damien;Peter;;
Elisabeth;Rosemarie;;
Florian;;;
Jamila;;;
Jean-Claude;;;
Léopold;Jacob;;
Marion;;;
Mathias;Sébastien;;
Mireille;Liselotte;;
Olivia;June;;
Pascale;Inès;;
Rose-Marie;;;
Silvia;;;
Thierry;;;
Yves;;;
Renata;Gabriella;;
Sabine;;;
Iryna;;;
Bilel;;;
Ilyan;;;
Kyan;;;
Serkan;Ahmet;;
Martial;;;
Djadan;Cessy;Yves-Aymar;
José;Yanice;Jordan;
Maxime;;;
Stéphanie;Alexandra;;
Akio;Søren;;
André;Fritz;;
Andreas;;;
Bastien;Jules;Patrice;
Beat;;;
Carmen;Yolande;;
Charline;Liliane;Victoria;
Charlotte;Marie;;
Christiane;Arlette;;
Christophe;;;
Christophe;Pierre;;
Derouhi;;;
Edith;Florence;;
Eileen;;;
Eliott;Liam;;
Enora;Lou;Elisabeth;
Erwan;;;
Faustine;;;
Francesca;Valeria;;
Geneviève;;;
Heidy;;;
Mélodie;Anora;;
Michel;Eddy;;
Nadia;Giovanna;Pia;
Naora;Salomé;;
Niamh;;;
Patrick;;;
Paul;Pierre;;
Quentin;Jérémie;;
Rémy;;;
Robert;Antoine;;
Stella;Gisèle;;
Stephanie;Eleonore;;
Frédéric;;;
Fritz;Auguste;;
Tania;Béatrice;;
Corinne;Monique;;
Clara;Lan;Marguerite;
Eleonore;Lili;Pauline;
Werner;Volker;;
Doris;Mamawa;;
Koffi;Samuel;;
Alya;;;
Aylin;;;
Leyla;;;
Soner;;;
Nikolina;;;
Aida;;;
Fatima;;;
Hurija;;;
Lelia;;;
Anna;;;
Veronika;;;
Idriz;;;
Tetiana;;;
Adam;;;
Alan;;;
Dara;;;
Anka;;;
Elizabeth;;;
Emilie;Béatrice;;
Gabriela;Silvia;;
Gian;Henry;;
Ivo;Marcel;;
Jeroen;Martyn;;
Marianne;Elisabeth;;
Norina;Linn;;
Philippe;Jean;;
Aditya;Reddy;;
